Merk;Mediumtype;Creatives;Campaign Code;Spend;Objective;Valence;Bekende Personen;Humor;DBA - Slogan;DBA - Karakter;DBA - Style Keuze;DBA - Kleur van logo;DBA - Soundlogo;Music Type;Mystery Ad;Voice-over;Logo Start;Logo End;Logo Visible;Dier;Personen;Logo Locatie;Kijkrichting;Doelgroep;MVO;Imago;CoT resultaten, exclusief ceps;CEP_01;CEP_02;CEP_03;CEP_04;CEP_05;CEP_06;CEP_07;CEP_08;CEP_09;CEP_10;CEP_11;CoT ceps keuze met verantwoording
50+MOBIEL;Televisie;https://adintel.nl.nielsen.com/kreationserver/kreation/7/6299301?0000000000005CNEQHTlNMV3oHU1xQWlF5UVJdXQpQe1EFCVhdVncDV18KWgB2UwJORUwMK0RcTlheS31VUEJbXVFhVFJeU11Vf1ZEEQ**;6299301;2 399 945;Sales;Functioneel;TRUE;TRUE;TRUE;TRUE;TRUE;Aanwezig (dominant);TRUE;Instrumentaal;TRUE;Afwezig;FALSE;TRUE;Afwezig;FALSE;TRUE;Centraal;Lezer;Babyboomers;Afwezig;Toegankelijk;De advertentie heeft als hoofddoel 'Sales', omdat deze expliciet oproept om over te stappen tijdens de 'overstapweken' om te profiteren van een specifieke deal. De benadering is 'Functioneel', met de focus op de concrete voordelen van de deal (30.000 MB voor â‚¬5). Er wordt een 'Bekende Persoon' gebruikt, namelijk Kees Tol. 'Humor' is aanwezig door de setting van een conducteur in een kantoor die een stationsomroep doet. De 'DBA - Slogan' ('Haal Ã¡lles uit je 50+ mobiel') en het 'DBA - Karakter' (Kees Tol als de conducteur) worden gebruikt. De 'Style Keuze' en de dominante aanwezigheid van de paarse merkkleur op het eindscherm zijn consistent met het merk. Een 'DBA - Soundlogo' (treinfluit) is hoorbaar op het einde. Er is 'Instrumentale' muziek. Het is geen 'Mystery Ad' omdat het merk (50+ mobiel) vroeg wordt genoemd, waardoor het direct duidelijk is (gecodeerd als True). Er is geen 'Voice-over' aangezien de spreker in beeld is. Het 'Logo' is alleen aan het 'Einde' te zien, 'Centraal' gepositioneerd, en dus niet gedurende de video. Er zijn 'Personen' (Kees Tol) maar geen 'Dieren'. De 'Kijkrichting' is naar de 'Lezer' (camera). De 'Doelgroep' is 'Babyboomers', afgeleid uit de merknaam '50+ mobiel'. Er is geen 'MVO'-thema en het 'Imago' dat wordt uitgestraald is 'Toegankelijk' vanwege de lage prijs.;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;De analyse identificeert twee Category Entry Points (CEPs). CEP_01 (Prijs) is aanwezig omdat de advertentie een zeer specifieke en lage prijs van 'â‚¬5,-' prominent in beeld brengt, wat de focus legt op betaalbaarheid en kostenbesparing. CEP_02 (Aanbieding) is aanwezig omdat de campagne wordt gepresenteerd als de 'overstapweken' en de kleine lettertjes het een 'Actietarief' noemen, wat duidt op een tijdelijke, voordelige actie. Alle andere CEPs zijn afwezig: er wordt niet gesproken over snelheid (CEP_03), netwerkdekking (CEP_04), combi-voordeel (CEP_05), onbeperkte data (CEP_06, het is 30.000 MB), bundelflexibiliteit (CEP_07), netwerkkwaliteit (CEP_08), TV-aanbod (CEP_09), klantenservice (CEP_10) of duurzaamheid (CEP_11).
50+MOBIEL;Televisie;https://adintel.nl.nielsen.com/kreationserver/kreation/7/6288501?0000000000005CNEQHTlNMAHgAAlwLV1MpUARbCA0ALFRSWQ0NBi1UAF1bXlwuXl5ORUwMK0RcTlheS31VUEJbXVFhVFJeU11Vf1ZEEQ**;6288501;604 661;Sales;Functioneel;TRUE;TRUE;TRUE;TRUE;TRUE;Aanwezig (gematigd);FALSE;Instrumentaal;TRUE;Afwezig;FALSE;TRUE;Afwezig;FALSE;TRUE;Centraal;Lezer;Babyboomers;Afwezig;Toegankelijk;Objectief: Sales, de advertentie is gericht op de directe verkoop van een specifieke aanbieding (â‚¬5 voor 30.000 MB). Valence: Functioneel, de nadruk ligt op de concrete, praktische voordelen van de deal: de hoeveelheid data (30.000 MB), onbeperkt bellen en de lage prijs (â‚¬5). Bekende Personen: True, de presentator is Harry Piekema, een zeer bekende acteur in Nederland. Humor: True, de advertentie gebruikt een luchtige toon met een goochelaar-thema om de prijsverlaging te presenteren. DBA - Slogan: True, de slogan 'Haal Ã¡lles uit je 50+ mobiel' wordt aan het einde getoond. DBA - Karakter: True, de goochelaar, gespeeld door Harry Piekema, fungeert als een herkenbaar personage voor deze campagne. DBA - Style Keuze: True, de setting met het theatergordijn en de goochelaar is een consistente stijlkeuze voor de 'Voordeelfestijn'-campagnes van het merk. DBA - Kleur van logo: Aanwezig (gematigd), de merkkleuren paars en oranje zijn zichtbaar in de aanbiedingstekst en prominent op het eindscherm. DBA - Soundlogo: False, er is geen auditief logo of jingle te horen. Music Type: Instrumentaal, er is een vrolijk, instrumentaal deuntje op de achtergrond. Mystery Ad: True, conform de definitie ('Het is direct duidelijk welk merk het is'), wordt de merknaam '50+ mobiel' direct in de eerste zin genoemd. Voice-over: Afwezig, de spreker is de gehele tijd in beeld. Logo Start: False, het visuele logo is niet in de eerste seconden te zien. Logo End: True, het logo wordt prominent getoond op het eindscherm. Logo Visible: Afwezig, het logo is alleen op de eindkaart te zien. Dier: False, er komen geen dieren in voor. Personen: True, er is Ã©Ã©n persoon prominent in beeld. Logo Locatie: Centraal, op het eindscherm staat het logo in het midden. Kijkrichting: Lezer, de persoon in de video kijkt recht in de camera en spreekt de kijker direct aan. Doelgroep / Generatie: Babyboomers, de merknaam '50+ mobiel' richt zich expliciet op deze leeftijdsgroep. MVO: Afwezig, er worden geen maatschappelijk verantwoorde thema's behandeld. Imago / Merkpersoonlijkheid: Toegankelijk, de focus op de zeer lage prijs en de eenvoud van de aanbieding positioneert het merk als laagdrempelig en betaalbaar.;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;CEP_01 (Prijs): True, de kern van de boodschap is de extreem lage prijs. De goocheltruc draait om het verlagen van de prijs van â‚¬10 naar 'maar â‚¬5,- per maand', wat de betaalbaarheid benadrukt. CEP_02 (Aanbieding): True, de commercial wordt ingeleid als een 'voordeelfestijn' en de deal wordt gepresenteerd als een tijdelijke actie ('Nu tijdelijk...'). De prijsverlaging is een duidelijke, tijdelijke aanbieding. De overige CEPs zijn niet aanwezig. De advertentie focust uitsluitend op de prijs en de inhoud van deze specifieke, tijdelijke aanbieding en benoemt geen andere kenmerken van de dienstverlening zoals snelheid, dekking of klantenservice.
50+MOBIEL;Televisie;https://adintel.nl.nielsen.com/kreationserver/kreation/7/6299311?0000000000005CNEQHTlNMUXdWAFsNCF15X1dZUVtddwcHWw9bU3sABQ4LCgEsA19ORUwMK0RcTlheS31VUEJbXVFhVFJeU11Vf1ZEEQ**;6299311;660 680;Sales;Functioneel;TRUE;FALSE;TRUE;FALSE;TRUE;Aanwezig (dominant);FALSE;Afwezig;FALSE;Afwezig;FALSE;TRUE;Afwezig;FALSE;TRUE;Centraal;Lezer;Babyboomers;Afwezig;Toegankelijk;De advertentie is gericht op directe verkoop (Sales) door een specifieke, functionele aanbieding te presenteren (30GB en onbeperkt bellen voor â‚¬5). De bekende acteur Frank Lammers (Bekende Personen) presenteert de deal en kijkt de kijker direct aan (Kijkrichting). Het merk wordt pas op het einde onthuld (Mystery Ad: False). De doelgroep is expliciet 50-plussers, wat overeenkomt met Babyboomers. Het imago is hierdoor Toegankelijk vanwege de lage prijs. De huisstijlkleuren (paars en oranje) domineren de eindkaart (DBA - Kleur van logo: Aanwezig (dominant)), waar ook de slogan 'Haal Ã¡lles uit je 50+mobiel' te zien is. Er is geen muziek of soundlogo. Het personage (conducteur) lijkt niet een vast merkkarakter te zijn.;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;De analyse richt zich op expliciet genoemde en getoonde elementen. CEP_01 (Prijs) is aanwezig, omdat de lage prijs van 'â‚¬5,- per maand' de kern van de boodschap is. CEP_02 (Aanbieding) is aanwezig, aangezien de kleine lettertjes verduidelijken dat het om een 'Actietarief' gaat voor de eerste 12 maanden van een 2-jarig contract, wat een duidelijke actie is. Hoewel 'onbeperkt bellen' wordt genoemd, wordt CEP_06 (Unlimited data) niet geselecteerd omdat de data expliciet gelimiteerd is tot 30.000 MB. De overige CEP's zoals snelheid, dekking, bundels, kwaliteit, en service worden niet benoemd in de commercial.
50+MOBIEL;Televisie;https://adintel.nl.nielsen.com/kreationserver/kreation/7/6288511?0000000000005CNEQHTlNMUXdRBw5YD112BwQOWgtcegJTDlleUnYEUlQLXFUtB15ORUwMK0RcTlheS31VUEJbXVFhVFJeU11Vf1ZEEQ**;6288511;405 775;Sales;Functioneel;FALSE;FALSE;TRUE;FALSE;TRUE;Aanwezig (dominant);TRUE;Instrumentaal;FALSE;Aanwezig (deels);FALSE;TRUE;Afwezig;FALSE;FALSE;Centraal;Afwezig;Babyboomers;Afwezig;Toegankelijk;Objectief is 'Sales' omdat de advertentie een specifieke, tijdelijke aanbieding ('actietarief', 'â‚¬5,-') promoot om directe verkoop te stimuleren. De Valence is 'Functioneel' door de focus op concrete voordelen: 30.000 MB en onbeperkt bellen voor een lage prijs. Er worden geen bekende personen, dieren of humor gebruikt. De slogan 'Haal Ã¡lles uit je 5G-mobiel' wordt aan het einde getoond (DBA - Slogan: True). Er is geen mascotte (DBA - Karakter: False). De huisstijlkleuren (paars en oranje) zijn dominant aanwezig, vooral op het eindscherm (DBA - Kleur van logo: Aanwezig (dominant)). Er klinkt een korte jingle bij het verschijnen van het logo (DBA - Soundlogo: True). De muziek is kort en zonder zang (Music Type: Instrumentaal). Het merk '50+mobiel' wordt pas aan het einde onthuld (Mystery Ad: False). Een voice-over legt de aanbieding uit in het begin (Voice-over: Aanwezig (deels)). Het logo verschijnt alleen op het einde (Logo Start: False, Logo End: True, Logo Visible: Afwezig, Logo Locatie: Centraal). Aangezien er geen personen zijn, is de kijkrichting 'Afwezig'. De merknaam '50+mobiel' wijst direct op 'Babyboomers' als doelgroep. Er is geen MVO-thema (MVO: Afwezig). De focus op een lage prijs voor een grote bundel positioneert het merk als 'Toegankelijk'.;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;CEP_01 (Prijs) is aanwezig: de advertentie draait volledig om de lage prijs van 'â‚¬5,-', wat expliciet wordt benadrukt in beeld en door de voice-over ('voor maar 5 euro per maand'). CEP_02 (Aanbieding) is aanwezig: de commercial heeft de titel 'VOORDEEL Festijn' en vermeldt dat het een 'Actietarief' is dat 'Nu tijdelijk' geldt, wat duidt op een promotionele actie. CEP_03 (Snelheid (5G/Internet)) is aanwezig: de slogan 'Haal Ã¡lles uit je 5G-mobiel' die aan het einde wordt getoond, refereert direct aan 5G-technologie en de snelheid die daarmee gepaard gaat. De overige CEPs zijn afwezig: de advertentie maakt geen claims over netwerkdekking (CEP_04), combi-voordelen (CEP_05), netwerkkwaliteit (CEP_08), TV-aanbod (CEP_09), klantenservice (CEP_10) of duurzaamheid (CEP_11). Het promoot een grote maar niet onbeperkte databundel (CEP_06: False) en het gaat om Ã©Ã©n specifieke bundel, niet om keuze of flexibiliteit (CEP_07: False).
50+MOBIEL;Televisie;https://adintel.nl.nielsen.com/kreationserver/kreation/7/6288521?0000000000005CNEQHTlNMAH9VA1wKWQZ9AlYPCl0GfVRRVF9bAX1XBA1aXFx4V1NORUwMK0RcTlheS31VUEJbXVFhVFJeU11Vf1ZEEQ**;6288521;405 775;Sales;Functioneel;FALSE;FALSE;TRUE;FALSE;TRUE;Aanwezig (dominant);FALSE;Instrumentaal;FALSE;Aanwezig (geheel);FALSE;TRUE;Afwezig;FALSE;FALSE;Centraal;Afwezig;Babyboomers;Afwezig;Toegankelijk;De advertentie is zeer kort en direct, met als hoofddoel sales. Dit wordt ondersteund door de functionele benadering die de nadruk legt op een concrete aanbieding (30.000 MB voor â‚¬5). Er worden geen bekende personen of humor gebruikt. De merkidentiteit wordt versterkt door de slogan 'Haal Ã¡lles uit je 50+ mobiel' en het dominante gebruik van de paarse merkkleur op het eindscherm. Het is een 'mystery ad' omdat het merk pas op het einde wordt onthuld. Er is een voice-over gedurende bijna de hele video. Het logo verschijnt alleen centraal op het eindscherm. Er zijn geen personen of dieren te zien. De doelgroep wordt expliciet benoemd door de merknaam '50+ mobiel', wat het meest overeenkomt met de Babyboomer-generatie die waarde hecht aan eenvoudige oplossingen en service. Het imago is 'Toegankelijk' vanwege de sterke focus op de lage prijs.;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;De analyse van de Category Entry Points (CEPs) laat zien dat de commercial zich op vier kernpunten richt. CEP_01 (Prijs) is aanwezig door de prominente weergave van 'â‚¬5,-'. CEP_02 (Aanbieding) wordt bevestigd door de kleine lettertjes die vermelden dat het om een 'Actietarief' gaat. CEP_10 (Klantenservice) wordt expliciet benoemd met de woorden 'Topservice'. Tot slot is CEP_08 (Netwerkkwaliteit/betrouwbaarheid) aanwezig door de combinatie van 'Topservice' en de visuele claim 'UITSTEKEND BEOORDEELD' met een hoge Trustpilot-score, wat duidt op een betrouwbare dienstverlening. Alle andere CEPs, zoals snelheid, dekking, bundelvoordeel of duurzaamheid, worden niet genoemd of getoond in deze zeer gefocuste advertentie.
50+MOBIEL;Televisie;https://adintel.nl.nielsen.com/kreationserver/kreation/7/6217351?0000000000005CNEQHTlNMBipfAF1YXAF6AgdZXgoHLVECCAwIBH5VBV1YXgF9V1BORUwMK0RcTlheS31VUEJbXVFhVFJeU11Vf1ZEEQ**;6217351;354 414;Sales;Emotioneel;TRUE;TRUE;TRUE;FALSE;TRUE;Aanwezig (gematigd);FALSE;Instrumentaal;TRUE;Afwezig;TRUE;TRUE;Af en toe;FALSE;TRUE;Linksboven;Lezer;Babyboomers;Afwezig;Toegankelijk;"De advertentie heeft als hoofddoel 'Sales', omdat er een specifieke prijsaanbieding (â‚¬2,50/maand) wordt gedaan met een duidelijke call-to-action ('stap ook over'). De benadering is 'Emotioneel' door het prominente gebruik van 'Humor' (de 'genaaid' woordspeling), wat de centrale creatieve insteek is. Er wordt een 'Bekende Persoon' ingezet (Frank Lammers). De advertentie gebruikt de 'DBA - Slogan' (""Haal Ã¡lles uit je 50+mobiel"") en de visuele 'DBA - Style Keuze' is consistent met eerdere campagnes. De merkidentiteit is vanaf het begin duidelijk (logo linksboven), waardoor het volgens de schemadefinitie een 'Mystery Ad: True' is. De personen (Frank Lammers en de vrouw) kijken de kijker direct aan ('Kijkrichting: Lezer'). De merknaam '50+mobiel' en de leeftijd van de acteurs richten zich duidelijk op de 'Doelgroep / Generatie' Babyboomers en oudere Gen X'ers. De focus op lage prijzen en de humoristische, laagdrempelige toon communiceren een 'Toegankelijk' en 'Speels' imago. Er is geen sprake van MVO.";TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"De selectie van de Category Entry Points is gebaseerd op expliciete benoemingen in de commercial. CEP_01 (Prijs) is aanwezig omdat de spreker direct 'onze lage prijzen' noemt en de centrale grap gaat over het te veel betalen ('dure rekening') bij concurrenten. CEP_02 (Aanbieding) is duidelijk aanwezig door de prominente weergave van de actie: 'Alle sim-only 2,50 per maand' voor het eerste jaar, wat een 'actietarief' wordt genoemd. CEP_10 (Klantenservice) is aanwezig omdat 'uitmuntende service' expliciet wordt genoemd als een van de redenen om over te stappen. Alle andere CEP's worden niet benoemd; er wordt niet gesproken over netwerksnelheid, dekking, bundelcombinaties, unlimited data, flexibiliteit, netwerkkwaliteit, TV/streaming of duurzaamheid."
50+MOBIEL;Televisie;https://adintel.nl.nielsen.com/kreationserver/kreation/7/6247881?0000000000005CNEQHTlNMUHwABVgLWFF5UlBdW1hSdgUECAhXUH1XA1gMXFN-AFVORUwMK0RcTlheS31VUEJbXVFhVFJeU11Vf1ZEEQ**;6247881;356 143;Sales;Functioneel;TRUE;FALSE;TRUE;TRUE;TRUE;Aanwezig (dominant);TRUE;Instrumentaal;FALSE;Afwezig;TRUE;TRUE;Continu;FALSE;TRUE;Rechtsonder;Lezer;Babyboomers;Afwezig;Toegankelijk;De advertentie heeft als hoofddoel het direct verkopen van een abonnement door middel van een promotie ('Dubbele Data Dagen'), dus het objectief is 'Sales'. De nadruk ligt op de functionele voordelen van de deal (gratis dubbele data voor een lage prijs), wat de valence 'Functioneel' maakt. Er wordt gebruik gemaakt van een bekende Nederlander (Gerard Cox), die als vast gezicht fungeert en dus als 'DBA - Karakter' geldt. De slogan 'Haal Ã¡lles uit je 50+ mobiel' wordt aan het einde getoond. De visuele stijl, met de kenmerkende paarse en oranje merkkleuren in een dominante rol, is consistent met eerdere campagnes van het merk. Het logo is continu zichtbaar rechtsonder en ook aan het begin en einde, en er is een soundlogo. De doelgroep is expliciet '50+' (Babyboomers/Generatie X). De presentator kijkt de kijker recht aan. De boodschap draait om een goede, simpele deal, wat het imago 'Toegankelijk' geeft.;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;De analyse van de Category Entry Points (CEPs) is als volgt: CEP_02 (Aanbieding) is de kern van de commercial, met expliciete benoeming van 'Dubbele Data Dagen', 'gratis dubbele data' en 'actietarief'. CEP_01 (Prijs) is ook aanwezig, aangezien een zeer lage prijs van 'â‚¬2,50' prominent wordt getoond, wat betaalbaarheid benadrukt. CEP_07 (Bundelgrootte/flexibiliteit) wordt geactiveerd omdat de actie geldt voor 'alle bundels' en een specifiek voorbeeld van een vergrote databundel (40.000 MB) wordt getoond. Tot slot wordt CEP_10 (Klantenservice) geÃ¯mpliceerd via een sterke social proof aan het einde: een hoge Trustpilot-score gebaseerd op 25.000+ klanten, wat duidt op tevredenheid en dus goede service. De overige CEPs worden niet benoemd of visueel ondersteund.
50+MOBIEL;Televisie;https://adintel.nl.nielsen.com/kreationserver/kreation/7/6175581?0000000000005CNEQHTlNMUi4FAglZDFMuV1FeC1cELAcAD1gIA3cHVVVdVgEtUQBORUwMK0RcTlheS31VUEJbXVFhVFJeU11Vf1ZEEQ**;6175581;632 733;Branding;Functioneel;TRUE;FALSE;TRUE;FALSE;TRUE;Aanwezig (gematigd);TRUE;Instrumentaal;TRUE;Afwezig;TRUE;TRUE;Continu;FALSE;TRUE;Rechtsboven;Lezer;Babyboomers;Afwezig;Toegankelijk;De advertentie is een korte bumper ad die primair gericht is op **Branding**. Dit blijkt uit het feit dat de merknaam en de kernproposities ('service + gemak + voordeel') centraal staan, zonder een directe call-to-action voor verkoop. De benadering is **Functioneel** door de nadruk op deze praktische voordelen. Er wordt gebruik gemaakt van een bekende Nederlander (Jack Wouterse), dus **Bekende Personen** is 'True'. Er is geen **Humor**. De tekst 'service + gemak + voordeel' functioneert als **DBA - Slogan**. De merkstijl is consistent (**DBA - Style Keuze: True**) en de merkkleuren zijn **Aanwezig (gematigd)**. Er is geen mascotte (**DBA - Karakter: False**) maar wel een kort **DBA - Soundlogo** aan het einde. De muziek is **Instrumentaal**. De merknaam is direct zichtbaar, dus volgens de definitie in de instructie ('True: Het is direct duidelijk welk merk het is') is **Mystery Ad** 'True'. De acteur is in beeld, dus er is geen **Voice-over**. Het logo is de gehele, korte duur van de advertentie zichtbaar (**Logo Start: True, Logo End: True, Logo Visible: Continu**) en bevindt zich **Rechtsboven**. De acteur kijkt de kijker aan (**Kijkrichting: Lezer**). De commercial richt zich met de naam '50+ mobiel' expliciet op de doelgroep **Babyboomers**. Er is geen **MVO** thema. Het imago is **Toegankelijk**, wat past bij de focus op gemak en voordeel voor een oudere doelgroep.;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;De analyse van de Category Entry Points (CEPs) is gebaseerd op de expliciete visuele en tekstuele elementen in de zeer korte (4 seconden) advertentie. De commercial is heel gericht en benadrukt slechts een paar kernwaarden. **CEP_10 (Klantenservice)** wordt als 'True' gecodeerd omdat het woord 'service' prominent in beeld staat, wat een directe verwijzing is naar klantenondersteuning. Dit wordt verder ondersteund door het woord 'gemak', wat impliceert dat de service laagdrempelig en behulpzaam is. Hoewel het woord 'voordeel' aanwezig is, is dit te algemeen om **CEP_01 (Prijs)** of **CEP_02 (Aanbieding)** te coderen, omdat er geen specifieke lage prijzen, kortingen of acties worden genoemd. Alle andere CEP's, zoals snelheid (CEP_03), dekking (CEP_04), bundels (CEP_05), unlimited data (CEP_06), flexibiliteit (CEP_07), technische netwerkkwaliteit (CEP_08), TV-aanbod (CEP_09) en duurzaamheid (CEP_11), worden op geen enkele manier benoemd of gesuggereerd.
50+MOBIEL;Televisie;https://adintel.nl.nielsen.com/kreationserver/kreation/7/6310971?0000000000005CNEQHTlNMXSpUUwpZW1F-VVFeCg9cf19fCA1dUXZeV1oLXFJ2A1JORUwMK0RcTlheS31VUEJbXVFhVFJeU11Vf1ZEEQ**;6310971;347 010;Sales;Functioneel;FALSE;FALSE;FALSE;FALSE;TRUE;Aanwezig (dominant);FALSE;Afwezig;FALSE;Aanwezig (geheel);TRUE;TRUE;Continu;FALSE;FALSE;Centraal;Afwezig;Babyboomers;Afwezig;Toegankelijk;De advertentie is gericht op directe verkoop (Sales) door een specifieke, laaggeprijsde aanbieding ('Overstap weken', 'â‚¬5,-') te promoten. De benadering is puur functioneel, met de nadruk op de bundelgrootte, prijs en 5G-snelheid. Er worden geen bekende personen, humor, slogan of soundlogo gebruikt. De huisstijl is wel consistent, met de paarse merkkleur die het eindscherm domineert. Het merk is vanaf het begin zichtbaar (geen mystery ad) en het logo blijft continu in beeld, eindigend in een centrale positie. Een voice-over is de gehele, korte duur van de advertentie aanwezig, er is geen muziek. Er komen geen personen of dieren in voor. De doelgroep wordt expliciet benoemd door de merknaam '50+ mobiel', wat primair duidt op Babyboomers en oudere Generatie X. De focus op de lage prijs positioneert het merk als toegankelijk. Er is geen MVO-thema.;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;De selectie van CEP's is gebaseerd op de expliciete boodschappen in de advertentie. CEP_01 (Prijs) is aanwezig omdat de prijs van 'â‚¬5,-' een centraal onderdeel van de aanbieding is. CEP_02 (Aanbieding) wordt geactiveerd door de tekst 'Overstap weken' en de vermelding 'Actietarief' in de kleine lettertjes, wat wijst op een promotionele actie. CEP_03 (Snelheid) is aanwezig door de duidelijke vermelding 'Nu met razendsnel 5G' aan het einde van de video. Tot slot is CEP_08 (Netwerkkwaliteit/betrouwbaarheid) gekozen vanwege de prominente weergave van de 'Uitstekend beoordeeld' Trustpilot-rating, wat direct inspeelt op de betrouwbaarheid en kwaliteit van de dienst.
50+MOBIEL;Dagbladen;https://adintel.nl.nielsen.com/kreationserver/kreation/1/20288070?0000000000005CNEQHTlNMBCpfAwkMX1Z_BFQIDVZVKwQCDwhZUikFXlQKXlB5UFZORUwMK0RcTlheS31VUEJbXVFhVFJeU11Vf1ZEEQ**;20288070;253 486;Sales;Functioneel;TRUE;TRUE;FALSE;TRUE;TRUE;Aanwezig (gematigd);FALSE;Afwezig;FALSE;Afwezig;FALSE;TRUE;Af en toe;FALSE;TRUE;Linksonder;Lezer;Babyboomers;Afwezig;Toegankelijk;Objectief: De advertentie focust op een specifieke aanbieding ('â‚¬2,50 per maand', 'Overstap Weken', 'couponcode') met een duidelijke call-to-action om een abonnement af te sluiten, wat duidt op een Sales-doelstelling. Valence: De nadruk ligt op praktische voordelen zoals een lage prijs, 30GB data en onbeperkt bellen, wat de benadering Functioneel maakt. Bekende Personen: De man in de advertentie is Kees Tol, een bekende Nederlandse presentator. Humor: Het concept van een 'Bespaar Trein' met een conducteur (Kees Tol) is een speelse en licht humoristische metafoor voor geld besparen. DBA - Karakter: De conducteur is een herkenbaar personage dat 50+mobiel vaker inzet in hun 'Bespaar Trein'-campagnes. DBA - Style Keuze: De visuele stijl met de trein, de conducteur en het kleurgebruik is consistent met de bekende campagnes van het merk. DBA - Kleur van logo: De merkkleuren paars en oranje zijn duidelijk aanwezig in de advertentie (logo, tekst, achtergrondvlakken) maar domineren niet het gehele beeld, vandaar 'Aanwezig (gematigd)'. Logo Start/End/Visible: In deze statische advertentie staat het hoofdlogo onderaan ('Logo End': True), niet bovenaan ('Logo Start': False). Het logo is op twee plaatsen te zien, dus 'Af en toe' zichtbaar. Personen: Er is een persoon prominent in beeld. Kijkrichting: De persoon kijkt de lezer direct aan om de aandacht te trekken. Doelgroep: De merknaam '50+mobiel' richt zich expliciet op de 50-plus doelgroep, wat overeenkomt met Babyboomers. Imago: De focus op lage prijzen en acties positioneert het merk als 'Toegankelijk'. Overige audio/visuele elementen zoals soundlogo, muziek en voice-over zijn afwezig in een statische advertentie.;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;CEP_01 (Prijs) is aanwezig: De advertentie communiceert zeer prominent een lage prijs van 'â‚¬2,50 per maand' en benadrukt de besparing door de oude prijs van 'â‚¬10,-' door te strepen. CEP_02 (Aanbieding) is aanwezig: De advertentie draait volledig om een actie, wat wordt benadrukt met termen als 'OVERSTAP WEKEN', 'actietarief', en het gebruik van een 'couponcode' voor 'unieke korting'. De overige CEPs (3 t/m 11) zijn afwezig. De advertentie maakt geen enkele vermelding van snelheid (5G), netwerkdekking, combi-voordeel, unlimited data (er wordt specifiek 30GB genoemd), bundelflexibiliteit, netwerkkwaliteit, TV/streaming, klantenservice of duurzaamheid. De boodschap is uitsluitend gericht op prijs en aanbieding.
